Ti,Al,Sn,Zr,Mo,Si,C,Nb,Hf,Ta,Cr,B,Mn,V,Co,Fe,Ni,W,Cu,Zn,Mg,Gd,Y,P,Ce,N,Er,Ca,Ge,Re,O,Ga,T,lnkp,,,,,,
8.66,9.76,0,0,0,0,0,0,0,0,18.81,0,0,0,21.32,20.21,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-11.67898005,,,,,,
8.28,13.95,0,0,0,0,0,0,0,0,17.92,0,0,0,20.31,19.3,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-16.28888397,,,,,,
8.28,13.95,0,0,0,0,0,0,0,0,17.92,0,0,0,20.31,19.3,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-14.93025223,,,,,,
8.28,13.95,0,0,0,0,0,0,0,0,17.92,0,0,0,20.31,19.3,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-12.06110688,,,,,,
20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,-7.873878385,,,,,,
20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,-7.103499856,,,,,,
20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,-4.489611845,,,,,,
2.02,1.38,0,0,4.08,0,0.06,0,0,0,20.39,0,0,0,0,0,66.45,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-14.95494484,,,,,,
2.02,1.38,0,0,4.08,0,0.06,0,0,0,20.39,0,0,0,0,0,66.45,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-11.89858795,,,,,,
2.02,1.38,0,0,4.08,0,0.06,0,0,0,20.39,0,0,0,0,0,66.45,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-10.20459265,,,,,,
2.02,1.38,0,0,4.08,0,0.06,0,0,0,20.39,0,0,0,0,0,66.45,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-8.568486486,,,,,,
4.3,1.1,49.6,0,4.5,0,0,0,0,0,12.2,0,0,0,24.6,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-12.3883942,,,,,,
4.3,1.1,49.6,0,4.5,0,0,0,0,0,12.2,0,0,0,24.6,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-11.59993684,,,,,,
4.3,1.1,49.6,0,4.5,0,0,0,0,0,12.2,0,0,0,24.6,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-10.16919072,,,,,,
73.38,0,0,0,0,14.35,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-11.10746036,,,,,,
73.38,0,0,0,0,14.35,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-8.650724584,,,,,,
73.38,0,0,0,0,14.35,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,-7.250245588,,,,,,
73.38,0,0,0,0,14.35,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,-5.49433225,,,,,,
73.38,0,0,0,0,14.35,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,-3.496607566,,,,,,
83.33,14.82,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-12.91039313,,,,,,
82.57,14.68,0,0,0,0,0,1.83,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-13.69772752,,,,,,
0,10.69,0,0,0,0,0,0,0,0,20.6,0,0,0,23.34,22.12,23.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-13.87738596,,,,,,
0,11.8,0,0,0,0,0,0,0,0,22.77,0,0,0,25.81,0,25.7,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-14.89432022,,,,,,
0,8.54,0,0,0,0,0,0,0,0,16.46,0,0,0,18.65,17.67,18.57,0,20.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.3412392,,,,,,
0,31.47,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-19.38826477,,,,,,
0,31.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-17.28927863,,,,,,
0,28.55,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,71.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.83144554,,,,,,
0,25.73,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,74.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-15.93577409,,,,,,
0,22.7,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,77.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-15.85573139,,,,,,
0,20.89,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,79.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.11809565,,,,,,
0,19.14,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,80.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.96206572,,,,,,
0,16.45,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,83.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-15.16258421,,,,,,
0,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.51857322,,,,,,
0,2.87,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,92.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-18.08420851,,,,,,
0,28.85,0,0,0,0,0,0,0,0,8.38,0,0,0,0,0,62.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-17.1397469,,,,,,
0,25.94,0,0,0,0,0,0,0,0,17.64,0,0,0,0,0,56.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.46058596,,,,,,
0,19.37,0,0,0,0,0,0,0,0,38.47,0,0,0,0,0,42.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-15.78162341,,,,,,
83.49,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-6.119297919,,,,,,
77.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-7.264430223,,,,,,
64.87,35.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-9.220390708,,,,,,
73.58,6.91,0,0,0,7.2,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-10.55741402,,,,,,
73.58,6.91,0,0,0,7.2,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-7.523941418,,,,,,
73.58,6.91,0,0,0,7.2,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-4.268697949,,,,,,
73.58,6.91,0,0,0,7.2,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,-4.074541935,,,,,,
73.79,13.86,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-14.70710868,,,,,,
73.79,13.86,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-12.82225878,,,,,,
73.79,13.86,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,-12.38042603,,,,,,
0,18.87,0,0,0,0,8.4,0,0,0,72.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-16.02278547,,,,,,
0,18.87,0,0,0,0,8.4,0,0,0,72.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-12.98260144,,,,,,
0,18.87,0,0,0,0,8.4,0,0,0,72.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,-12.09274396,,,,,,
73.73,12.47,0,0,0,1.45,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-14.78309458,,,,,,
73.73,12.47,0,0,0,1.45,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-13.94334393,,,,,,
73.73,12.47,0,0,0,1.45,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,-11.99096127,,,,,,
73.71,10.39,0,0,0,3.61,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-13.81551056,,,,,,
